招标单位,杭州市富阳区第二中学
项目名称,杭州市富阳区第二中学胶印室服务外包项目（二次公告）
项目地址,杭州市富阳区第二中学
招标编号,JYJ201808002
预算价,30万元
招标代理公司,杭州普信工程咨询有限公司
代理联系电话,63392877
招标内容、数量、用途,杭州市富阳区第二中学胶印室服务外包项目，承包期限为2018年8月-2020年7月。
投标供应商的资格要求,"1、符合《中华人民共和国政府采购法》第二十二条，在中华人民共和国境内注册的独立法人，且符合、承认并承诺履行招标各项规定，所提供的货物和服务须在我国境内合法生产或销售的。2、近三年具有学校文印室业务一年及以上的经历,具有新闻出版部门认可颁布的《印刷经营许可证》。"
报名需提供资料,1、企业法人授权委托书（不接收介绍信）原件及投标报名人身份证原件及复印件;2、营业执照、《印刷经营许可证》复印件;3、具有近三年内学校文印室业务一年及以上的经历证明复印件（以合同为准，原件备查）;4、以上复印件均须加盖企业公章;所提供资料必须真实可靠;5、资料不齐全或超过报名时间的，一律不予报名;6、报名结束后，招标单位有权对报名单位资质及报名资料审查，如审查结果不满足招标要求，则取消其投标资格。
报名日期,"2018-08-02
  08:00:00至2018-08-06 16:00:00"
报名地址,富阳区富春街道桂花西路25号706室
开标日期,
投标、开标地址,杭州市富阳区教育局北楼一楼开标室
投标保证金,0.6万元
联系方式,63392877
