序号,物资描述,计量单位,采购数量,税率,交货日期,报价要求
1,二氧化碳 GB/T 6052-2011,瓶,50.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
2,乙炔 GB6819-2004,瓶,301.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
3,氟化氢铵,千克,110.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
4,氩气,瓶,200.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
5,氧气,瓶,200.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
6,氮气,瓶,200.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
7,丙烷,瓶,150.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
8,亚硝酸钠,吨,0.5000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
9,柠檬酸,千克,300.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
10,四氯化碳 500ml,千克,900.0000,0.17,2016-09-30,国标 点数尺量 山钢现场 15000322610/18953335113 赵鹏/刘晓强
