采购单位,惠州市林业局
项目名称,惠州市国有东江林场激流坑防火通道建设项目采购预算审核服务
父级项目名称,惠州市林业局采购2019年工程预算审核服务
采购编号,4413000771878751909250351
项目规模,"投资额（￥199,067.00元）"
服务类型,工程造价咨询
服务内容,本项目是惠州市国有东江林场激流坑防火通道建设项目采购预算审核服务，工程施工地点为惠州市东江林场，工程预算造价人民币199067元，本服务根据《工程预算报告书》等项目有关材料进行现场审核
资质要求,"报名企业须具有甲级以上工程造价咨询资质并入驻惠州市中介超市;审核人应对审核成果的准确性、完整性、合法性负责
								点击查看资质专业要求"
,多个资质子项符合其一即可工程造价咨询甲级工程造价咨询
服务时限,收到中选通知书和业主方提供的预算资料之日起10个工作日内完成该项服务
服务金额,"￥1,000.00元"
金额说明,本次服务经业主方咨询相关规定，以包干价人民币1000元计
选取方式,随机抽取
选取地址,惠州市林业局
选取时间,2019-09-25 16:35
采购单位电话,惠州市林业局（2881331）
投诉质疑,（0752-2898131）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,惠州市国有东江林场激流坑防火通道建设项目采购预算审核服务需求书.PDF
