序号,物资描述,计量单位,采购数量,税率,交货日期,报价要求
1,普通螺纹钢 Ψ22mm*9m HRB400E,吨,4.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
2,普通螺纹钢 Ψ25mm*9m HRB400E,吨,40.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
3,普通螺纹钢 Ψ32mm*9m HRB400E,吨,13.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理过磅付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
4,普通螺纹钢 Ψ12mm*9m HRB400E,吨,60.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
5,普通螺纹钢 Ψ14mm*9m HRB400E,吨,50.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
6,普通螺纹钢 Ψ16mm*9m HRB400E,吨,140.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
7,普通螺纹钢 Ψ22mm*12m HRB400E,吨,12.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
8,普通螺纹钢 Ψ22mm*12m HRB400E,吨,65.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
9,普通螺纹钢 Ψ25mm*12m HRB400E,吨,40.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
10,普通螺纹钢 Ψ25mm*12m HRB400E,吨,160.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
11,普通螺纹钢 Ψ28mm*12m HRB400E,吨,3.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
12,普通螺纹钢 Ψ32mm*12m HRB400E,吨,130.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
13,普通螺纹钢 Ψ12mm*12m HRB400E,吨,30.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
14,普通螺纹钢 Ψ14mm*12m HRB400E,吨,15.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
15,普通螺纹钢 Ψ16mm*12m HRB400E,吨,55.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
16,普通螺纹钢 Ψ18mm*12m HRB400E,吨,6.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
17,普通螺纹钢 Ψ18mm*12m HRB400E,吨,10.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
18,普通螺纹钢 Ψ20mm*12m HRB400E,吨,12.0000,0.17,2017-08-04,技技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
19,普通螺纹钢 Ψ20mm*12m HRB400E,吨,40.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
20,盘螺 Ψ8mm HRB400E,吨,40.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:过磅付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
21,盘螺 Ψ8mm HRB400E,吨,58.0000,0.17,2017-08-07,技术标准:GB1499.2-2007计量方式:理论付款方式:送货地点:东丽湖工程部位:地下车库二及6、7号楼首层收料人姓名:董世波联系方式:18722446555
22,盘螺 Ψ10mm HRB400E,吨,40.0000,0.17,2017-08-04,技术标准:GB1499.2-2007计量方式:过磅付款方式:送货地点:东丽湖工程部位:一号楼10至12层层收料人姓名:董世波联系方式:18722446555
